company,C1,C2,C3,C4,C5,C6,score,verdict
Vishwarupa Chemical Private Limited,Strong,Strong,Moderate,Moderate,Strong,Weak,57.5,C - Borderline
Vijay Chemical Industries (India) Private Limited,Strong,Strong,Strong,Moderate,Strong,Strong,90.0,A - Strong Federer
Galva Deco Parts Private Limited,Strong,Strong,Moderate,Moderate,Moderate,Strong,67.5,B - Probable
Satyesh Brinechem Private Limited,Strong,Strong,Moderate,Moderate,Strong,Strong,77.5,B - Probable
Solenis Chemicals India Private Limited,Strong,Strong,Strong,Moderate,Strong,Strong,90.0,A - Strong Federer
